torneo,jugadorA,jugadorB,setsA,setsB,fecha,retirado,acesA,acesB,dobleFaltasA,dobleFaltasB,porcentajePrimerSaqueA,porcentajePrimerSaqueB,porcentajePuntosGanadosConPrimerSaqueA,porcentajePuntosGanadosConPrimerSaqueB,puntosGanadosConPrimerSaqueA,puntosGanadosConPrimerSaqueB,porcentajePuntosGanadosConSegundoSaqueA,porcentajePuntosGanadosConSegundoSaqueB,puntosGanadosConSegundoSaqueA,puntosGanadosConSegundoSaqueB,porcentajeBreakPointsSalvadosA,porcentajeBreakPointsSalvadosB,breakPointsSalvadosA,breakPointsSalvadosB,porcentajeBreakPointsA,porcentajeBreakPointsB,breakPointsA,breakPointsB,velocidadMediaPrimerSaqueA,velocidadMediaPrimerSaqueB,velocidadMediaSegundoSaqueA,velocidadMediaSegundoSaqueB,porcentajePuntosGanadosAlRestoConPrimerSaqueA,porcentajePuntosGanadosAlRestoConPrimerSaqueB,puntosGanadosAlRestoConPrimerSaqueA,puntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoConSegundoSaqueA,porcentajePuntosGanadosAlRestoConSegundoSaqueB,puntosGanadosAlRestoConSegundoSaqueA,puntosGanadosAlRestoConSegundoSaqueB,winnersA,winnersB,erroresNoForzadosA,erroresNoForzadosB,porcentajePuntosGanadosRedA,porcentajePuntosGanadosRedB,puntosGanadosRedA,puntosGanadosRedB,porcentajePuntosGanadosSaqueA,porcentajePuntosGanadosSaqueB,puntosGanadosSaqueA,puntosGanadosSaqueB,porcentajePuntosGanadosRestoA,porcentajePuntosGanadosRestoB,puntosGanadosRestoA,puntosGanadosRestoB,porcentajePuntosGanadosA,porcentajePuntosGanadosB,puntosGanadosA,puntosGanadosB,puntosGanadosUltimas10BolasA,puntosGanadosUltimas10BolasB,puntosDePartidoSalvadosA,puntosDePartidoSalvadosB,porcentajeJuegosGanadosSaqueA,porcentajeJuegosGanadosSaqueB,juegosGanadosSaqueA,juegosGanadosSaqueB,porcentajeJuegosGanadosRestoA,porcentajeJuegosGanadosRestoB,juegosGanadosRestoA,juegosGanadosRestoB,porcentajeJuegosGanadosA,porcentajeJuegosGanadosB,juegosGanadosA,juegosGanadosB,cuotaA,cuotaB,cuotaA_2,cuotaB_2,dobleA,dobleB,porcentajeJuegosGanadosPrimerSaqueA,juegosGanadosPrimerSaqueA,porcentajeJuegosGanadosPrimerSaqueB,juegosGanadosPrimerSaqueB,porcentajeJuegosGanadosSegundoSaqueA,JuegosGanadosSegundoSaqueA,porcentajeJuegosGanadosSegundoSaqueB,JuegosGanadosSegundoSaqueB,BreakPointsSalvadosA,BreakPointsSalvadosB,PuntosGanadosAlRestoConPrimerSaqueA,PuntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoA,PuntosGanadosAlRestoA,porcentajePuntosGanadosAlRestoB,PuntosGanadosAlRestoB,PuntosGanadosAlRestoConSegundoSaqueA,PuntosGanadosAlRestoConSegundoSaqueB,porcentajePuntosBreakConvertidosA,PuntosBreakConvertidosA,porcentajePuntosBreakConvertidosB,PuntosBreakConvertidosB,PuntosGanadosRedA,PuntosGanadosRedB,porcentajePuntosGanadosAlSaqueA,PuntosGanadosAlSaqueA,porcentajePuntosGanadosAlSaqueB,PuntosGanadosAlSaqueB,PuntosGanadosA,PuntosGanadosB,PuntosGanadosUltimas10BolasA,PuntosGanadosUltimas10BolasB,BolasDePartidoSalvadasA,BolasDePartidoSalvadasB,porcentajeJuegosGanadosAlSaqueA,JuegosGanadosAlSaqueA,porcentajeJuegosGanadosAlSaqueB,JuegosGanadosAlSaqueB,porcentajeJuegosGanadosAlRestoA,JuegosGanadosAlRestoA,porcentajeJuegosGanadosAlRestoB,JuegosGanadosAlRestoB,JuegosGanadosA,JuegosGanadosB
Australian Open,Rinderknech A.,Tiafoe F.,2,3,13.01. 01:10,no,33,14,,,58%,58%,,,,,,,,,50%,80%,,,,,,,,,,,21%,16%,,,44%,55%,,,70,58,64,36,57%,63%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,46%,54%,,,4.00,1.25,4.00,1.25,10,8,84%,(79/94),79%,(77/98),45%,(30/67),56%,(40/71),(5/10),(8/10),(21/98),(15/94),31%,(52/169),32%,(52/161),(31/71),(37/67),20%,(2/10),50%,(5/10),(16/28),(22/35),68%,(109/161),69%,(117/169),(161/330),(169/330),4,6,0,0,81%,(22/27),92%,(23/25),8%,(2/25),19%,(5/27),(24/52),(28/52)
Australian Open,Tabilo A.,Carballes Baena R.,1,3,13.01. 01:10,no,9,7,,,60%,66%,,,,,,,,,50%,67%,,,,,,,,,,,35%,30%,,,39%,61%,,,46,33,55,30,79%,54%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,47%,53%,,,1.50,2.63,1.50,2.63,2,2,70%,(46/66),65%,(49/75),39%,(17/44),61%,(23/38),(5/10),(8/12),(26/75),(20/66),36%,(41/113),43%,(47/110),(15/38),(27/44),33%,(4/12),50%,(5/10),(26/33),(14/26),57%,(63/110),64%,(72/113),(104/223),(119/223),1,9,1,0,72%,(13/18),78%,(14/18),22%,(4/18),28%,(5/18),(17/36),(19/36)
Australian Open,Pouille L.,Zverev A.,0,3,12.01. 10:50,no,3,18,,,55%,73%,,,,,,,,,83%,100%,,,,,,,,,,,22%,27%,,,38%,59%,,,24,40,34,29,71%,56%,,,,,,,,,,,44%,56%,,,,,,,,,,,,,,,40%,60%,,,19.00,1.02,19.00,1.02,7,2,73%,(45/62),78%,(50/64),41%,(21/51),63%,(15/24),(15/18),(2/2),(14/64),(17/62),26%,(23/88),42%,(47/113),(9/24),(30/51),0%,(0/2),17%,(3/18),(20/28),(14/25),58%,(66/113),74%,(65/88),(89/201),(112/201),6,4,1,0,80%,(12/15),100%,(15/15),0%,(0/15),20%,(3/15),(12/30),(18/30)
Australian Open,Walton A.,Halys Q.,2,3,12.01. 10:25,no,11,31,,,67%,60%,,,,,,,,,60%,67%,,,,,,,,,,,16%,26%,,,51%,33%,,,44,83,22,77,77%,77%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,50%,50%,,,1.80,2.00,1.80,2.00,1,6,74%,(78/105),84%,(83/99),67%,(35/52),49%,(32/65),(3/5),(4/6),(16/99),(27/105),30%,(49/164),28%,(44/157),(33/65),(17/52),33%,(2/6),40%,(2/5),(20/26),(33/43),72%,(113/157),70%,(115/164),(162/321),(159/321),2,8,0,0,93%,(25/27),93%,(25/27),7%,(2/27),7%,(2/27),(27/54),(27/54)
Australian Open,Onclin G.,Opelka R.,1,3,12.01. 10:20,no,2,38,,,69%,72%,,,,,,,,,43%,77%,,,,,,,,,,,26%,35%,,,67%,47%,,,24,73,27,58,42%,52%,,,,,,,,,,,48%,52%,,,,,,,,,,,,,,,45%,55%,,,3.75,1.29,3.75,1.29,4,5,65%,(54/83),74%,(85/115),53%,(20/38),33%,(15/45),(3/7),(10/13),(30/115),(29/83),38%,(60/160),39%,(47/121),(30/45),(18/38),23%,(3/13),57%,(4/7),(5/12),(15/29),61%,(74/121),63%,(100/160),(134/281),(147/281),4,6,6,0,78%,(14/18),85%,(17/20),15%,(3/20),22%,(4/18),(17/38),(21/38)
Australian Open,Humbert U.,Gigante M.,3,0,12.01. 10:00,no,9,16,,,63%,63%,,,,,,,,,67%,67%,,,,,,,,,,,23%,25%,,,52%,38%,,,28,40,43,45,71%,65%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,56%,44%,,,1.08,8.00,1.08,8.00,4,7,75%,(50/67),77%,(58/75),63%,(25/40),48%,(21/44),(2/3),(6/9),(17/75),(17/67),34%,(40/119),30%,(32/107),(23/44),(15/40),33%,(3/9),33%,(1/3),(25/35),(13/20),70%,(75/107),66%,(79/119),(115/226),(111/226),7,3,0,1,94%,(16/17),82%,(14/17),18%,(3/17),6%,(1/17),(19/34),(15/34)
Australian Open,Martinez P.,Darderi L.,1,0,12.01. 09:55,no,1,3,,,76%,63%,,,,,,,,,80%,43%,,,,,,,,,,,44%,28%,,,71%,40%,,,13,16,6,36,56%,33%,,,,,,,,,,,61%,39%,,,,,,,,,,,,,,,71%,29%,,,1.62,2.30,1.62,2.30,2,4,72%,(23/32),56%,(20/36),60%,(6/10),29%,(6/21),(4/5),(3/7),(16/36),(9/32),54%,(31/57),31%,(13/42),(15/21),(4/10),57%,(4/7),20%,(1/5),(5/9),(2/6),69%,(29/42),46%,(26/57),(60/99),(39/99),6,4,0,0,86%,(6/7),43%,(3/7),57%,(4/7),14%,(1/7),(10/14),(4/14)
Australian Open,Nagal S.,Machac T.,0,3,12.01. 09:40,no,0,7,,,68%,49%,,,,,,,,,53%,71%,,,,,,,,,,,23%,47%,,,40%,63%,,,19,38,20,33,64%,88%,,,,,,,,,,,40%,60%,,,,,,,,,,,,,,,32%,68%,,,13.00,1.04,13.00,1.04,5,4,53%,(31/58),78%,(31/40),37%,(10/27),60%,(25/42),(8/15),(5/7),(9/40),(27/58),32%,(26/82),52%,(44/85),(17/42),(17/27),29%,(2/7),47%,(7/15),(7/11),(22/25),48%,(41/85),68%,(56/82),(67/167),(100/167),2,8,0,0,50%,(7/14),86%,(12/14),14%,(2/14),50%,(7/14),(9/28),(19/28)
Australian Open,Lehecka J.,Tu L.,3,1,12.01. 09:10,no,13,8,,,65%,62%,,,,,,,,,75%,50%,,,,,,,,,,,24%,19%,,,49%,28%,,,45,24,37,39,68%,64%,,,,,,,,,,,55%,45%,,,,,,,,,,,,,,,57%,43%,,,1.07,9.00,1.07,9.00,2,4,81%,(54/67),76%,(50/66),72%,(26/36),51%,(21/41),(3/4),(3/6),(16/66),(13/67),34%,(36/107),22%,(23/103),(20/41),(10/36),50%,(3/6),25%,(1/4),(19/28),(16/25),78%,(80/103),66%,(71/107),(116/210),(94/210),9,1,0,0,95%,(18/19),83%,(15/18),17%,(3/18),5%,(1/19),(21/37),(16/37)
Australian Open,Habib H.,Bu Y.,3,0,12.01. 08:35,no,18,13,,,66%,57%,,,,,,,,,0%,60%,,,,,,,,,,,31%,12%,,,38%,23%,,,61,25,34,19,72%,63%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,53%,47%,,,3.20,1.36,3.20,1.36,2,3,88%,(52/59),69%,(44/64),77%,(23/30),63%,(30/48),(0/1),(3/5),(20/64),(7/59),34%,(38/112),16%,(14/89),(18/48),(7/30),40%,(2/5),100%,(1/1),(18/25),(12/19),84%,(75/89),66%,(74/112),(113/201),(88/201),6,4,0,0,94%,(16/17),88%,(15/17),12%,(2/17),6%,(1/17),(18/34),(16/34)
Australian Open,Ruud C.,Munar J.,3,2,12.01. 04:05,no,7,10,,,67%,65%,,,,,,,,,38%,58%,,,,,,,,,,,27%,31%,,,63%,43%,,,48,48,37,40,81%,73%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,51%,49%,,,1.17,5.00,1.17,5.00,2,3,69%,(57/83),73%,(66/90),58%,(23/40),38%,(18/48),(3/8),(7/12),(24/90),(26/83),39%,(54/138),35%,(43/123),(30/48),(17/40),42%,(5/12),63%,(5/8),(30/37),(36/49),65%,(80/123),61%,(84/138),(134/261),(127/261),7,3,0,0,77%,(17/22),76%,(16/21),24%,(5/21),23%,(5/22),(22/43),(21/43)
Australian Open,Nishikori K.,Monteiro T.,3,2,12.01. 03:15,no,17,21,,,72%,64%,,,,,,,,,86%,74%,,,,,,,,,,,26%,19%,,,49%,44%,,,67,55,42,52,75%,53%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,57%,43%,,,1.20,4.50,1.20,4.50,3,5,81%,(82/101),74%,(80/108),56%,(22/39),51%,(31/61),(6/7),(14/19),(28/108),(19/101),34%,(58/169),26%,(36/140),(30/61),(17/39),26%,(5/19),14%,(1/7),(27/36),(10/19),74%,(104/140),66%,(111/169),(162/309),(147/309),8,2,2,0,96%,(24/25),81%,(21/26),19%,(5/26),4%,(1/25),(29/51),(22/51)
Australian Open,Virtanen O.,Fils A.,1,3,12.01. 01:45,no,11,15,,,55%,64%,,,,,,,,,70%,50%,,,,,,,,,,,19%,26%,,,45%,52%,,,33,47,53,48,67%,70%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,49%,51%,,,6.00,1.13,6.00,1.13,12,2,74%,(59/80),81%,(60/74),48%,(32/66),55%,(23/42),(7/10),(2/4),(14/74),(21/80),28%,(33/116),38%,(55/146),(19/42),(34/66),50%,(2/4),30%,(3/10),(16/24),(21/30),62%,(91/146),72%,(83/116),(124/262),(138/262),6,4,1,0,86%,(18/21),90%,(18/20),10%,(2/20),14%,(3/21),(20/41),(21/41)
Australian Open,Gaston H.,Jasika O.,3,1,12.01. 01:10,no,12,2,,,60%,78%,,,,,,,,,78%,36%,,,,,,,,,,,40%,25%,,,63%,45%,,,55,20,33,38,73%,57%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,64%,36%,,,1.36,3.20,1.36,3.20,2,3,75%,(46/61),60%,(51/85),55%,(22/40),38%,(9/24),(7/9),(4/11),(34/85),(15/61),45%,(49/109),33%,(33/101),(15/24),(18/40),64%,(7/11),22%,(2/9),(22/30),(25/44),67%,(68/101),55%,(60/109),(117/210),(93/210),7,3,0,0,88%,(14/16),59%,(10/17),41%,(7/17),13%,(2/16),(21/33),(12/33)
French Open,Sinner J.,Alcaraz C.,2,3,08.06. 15:30,no,8,7,,,54%,58%,,,,,,,,,50%,53%,,,,,,,199 km/h,192 km/h,153 km/h,165 km/h,37%,30%,,,43%,50%,,,53,70,64,73,67%,67%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,50%,50%,,,1.83,2.00,1.83,2.00,0,7,70%,(72/103),63%,(71/113),50%,(44/88),57%,(46/81),(7/14),(8/15),(42/113),(31/103),40%,(77/194),39%,(75/191),(35/81),(44/88),47%,(7/15),50%,(7/14),(30/45),(22/33),61%,(116/191),60%,(117/194),(193/385),(192/385),2,8,0,3,75%,(21/28),75%,(21/28),25%,(7/28),25%,(7/28),(28/56),(28/56)
French Open,Sinner J.,Djokovic N.,3,0,06.06. 19:10,no,10,4,,,51%,71%,,,,,,,,,83%,67%,,,,,,,195 km/h,187 km/h,150 km/h,154 km/h,33%,21%,,,42%,37%,,,44,35,36,53,74%,81%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,56%,44%,,,1.22,4.33,1.22,4.33,1,1,79%,(45/57),67%,(54/81),63%,(34/54),58%,(19/33),(5/6),(6/9),(27/81),(12/57),36%,(41/114),29%,(32/111),(14/33),(20/54),33%,(3/9),17%,(1/6),(14/19),(17/21),71%,(79/111),64%,(73/114),(120/225),(105/225),7,3,0,1,94%,(16/17),82%,(14/17),18%,(3/17),6%,(1/17),(19/34),(15/34)
French Open,Musetti L.,Alcaraz C.,1,2,06.06. 14:40,no,2,1,,,68%,58%,,,,,,,,,50%,0%,,,,,,,194 km/h,192 km/h,159 km/h,166 km/h,28%,43%,,,35%,55%,,,22,35,33,32,76%,77%,,,,,,,,,,,43%,57%,,,,,,,,,,,,,,,40%,60%,,,6.00,1.13,6.00,1.13,3,2,57%,(39/69),72%,(34/47),45%,(15/33),65%,(22/34),(6/12),(0/3),(13/47),(30/69),31%,(25/81),47%,(48/102),(12/34),(18/33),100%,(3/3),50%,(6/12),(13/17),(20/26),53%,(54/102),69%,(56/81),(79/183),(104/183),2,8,0,0,60%,(9/15),80%,(12/15),20%,(3/15),40%,(6/15),(12/30),(18/30)
French Open,Zverev A.,Djokovic N.,1,3,04.06. 20:35,no,4,6,,,70%,71%,,,,,,,,,50%,67%,,,,,,,200 km/h,185 km/h,172 km/h,144 km/h,24%,24%,,,44%,65%,,,38,42,44,29,45%,73%,,,,,,,,,,,45%,55%,,,,,,,,,,,,,,,41%,59%,,,1.91,1.91,1.91,1.91,1,0,76%,(55/72),76%,(65/85),35%,(11/31),56%,(19/34),(4/8),(2/3),(20/85),(17/72),29%,(35/119),36%,(37/103),(15/34),(20/31),33%,(1/3),50%,(4/8),(17/38),(27/37),64%,(66/103),71%,(84/119),(101/222),(121/222),5,5,4,0,78%,(14/18),95%,(18/19),5%,(1/19),22%,(4/18),(15/37),(22/37)
French Open,Sinner J.,Bublik A.,3,0,04.06. 16:20,no,5,5,,,58%,64%,,,,,,,,,100%,57%,,,,,,,193 km/h,200 km/h,155 km/h,169 km/h,33%,22%,,,78%,31%,,,31,22,13,37,58%,43%,,,,,,,,,,,61%,39%,,,,,,,,,,,,,,,76%,24%,,,1.03,17.00,1.03,17.00,1,6,78%,(35/45),67%,(38/57),69%,(22/32),22%,(7/32),(2/2),(8/14),(19/57),(10/45),49%,(44/89),26%,(20/77),(25/32),(10/32),43%,(6/14),0%,(0/2),(18/31),(9/21),74%,(57/77),51%,(45/89),(101/166),(65/166),8,2,0,0,100%,(13/13),50%,(6/12),50%,(6/12),0%,(0/13),(19/25),(6/25)
French Open,Paul T.,Alcaraz C.,0,3,03.06. 20:30,no,3,3,,,72%,78%,,,,,,,,,65%,0%,,,,,,,185 km/h,188 km/h,161 km/h,161 km/h,12%,44%,,,17%,63%,,,13,40,26,22,59%,89%,,,,,,,,,,,36%,64%,,,,,,,,,,,,,,,22%,78%,,,8.00,1.08,8.00,1.08,2,0,56%,(35/63),88%,(38/43),38%,(9/24),83%,(10/12),(11/17),(0/0),(5/43),(28/63),13%,(7/55),49%,(43/87),(2/12),(15/24),0%,(0/0),35%,(6/17),(10/17),(8/9),51%,(44/87),87%,(48/55),(51/142),(91/142),2,8,0,0,45%,(5/11),100%,(12/12),0%,(0/12),55%,(6/11),(5/23),(18/23)
French Open,Musetti L.,Tiafoe F.,3,1,03.06. 15:40,no,8,4,,,70%,61%,,,,,,,,,67%,55%,,,,,,,180 km/h,187 km/h,152 km/h,140 km/h,35%,19%,,,49%,50%,,,45,33,32,51,63%,53%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,61%,39%,,,1.22,4.33,1.22,4.33,3,0,81%,(61/75),65%,(45/69),50%,(16/32),51%,(23/45),(2/3),(6/11),(24/69),(14/75),40%,(46/114),28%,(30/107),(22/45),(16/32),45%,(5/11),33%,(1/3),(15/24),(19/36),72%,(77/107),60%,(68/114),(123/221),(98/221),8,2,0,2,95%,(18/19),74%,(14/19),26%,(5/19),5%,(1/19),(23/38),(15/38)
French Open,Sinner J.,Rublev A.,3,0,02.06. 20:30,no,5,7,,,62%,65%,,,,,,,,,100%,38%,,,,,,,190 km/h,196 km/h,154 km/h,141 km/h,31%,19%,,,71%,23%,,,25,24,19,39,63%,71%,,,,,,,,,,,60%,40%,,,,,,,,,,,,,,,69%,31%,,,1.05,11.00,1.05,11.00,0,1,81%,(34/42),69%,(40/58),77%,(20/26),29%,(9/31),(3/3),(3/8),(18/58),(8/42),45%,(40/89),21%,(14/68),(22/31),(6/26),63%,(5/8),0%,(0/3),(5/8),(10/14),79%,(54/68),55%,(49/89),(94/157),(63/157),6,4,0,0,100%,(13/13),62%,(8/13),38%,(5/13),0%,(0/13),(18/26),(8/26)
French Open,Bublik A.,Draper J.,3,1,02.06. 16:55,no,8,12,,,60%,69%,,,,,,,,,75%,17%,,,,,,,200 km/h,196 km/h,171 km/h,159 km/h,29%,19%,,,58%,56%,,,68,37,39,25,83%,42%,,,,,,,,,,,54%,47%,,,,,,,,,,,,,,,59%,41%,,,9.00,1.07,9.00,1.07,7,4,81%,(62/77),71%,(52/73),44%,(23/52),42%,(14/33),(6/8),(1/6),(21/73),(15/77),38%,(40/106),34%,(43/127),(19/33),(29/52),83%,(5/6),25%,(2/8),(33/40),(14/33),66%,(84/127),62%,(66/106),(125/233),(110/233),6,4,0,1,90%,(18/20),74%,(14/19),26%,(5/19),10%,(2/20),(23/39),(16/39)
French Open,Norrie C.,Djokovic N.,0,3,02.06. 16:05,no,2,4,,,58%,60%,,,,,,,,,36%,60%,,,,,,,186 km/h,187 km/h,144 km/h,151 km/h,28%,55%,,,53%,59%,,,22,26,32,28,58%,66%,,,,,,,,,,,40%,60%,,,,,,,,,,,,,,,28%,72%,,,8.00,1.08,8.00,1.08,1,3,45%,(18/40),72%,(39/54),41%,(12/29),47%,(17/36),(4/11),(3/5),(15/54),(22/40),38%,(34/90),57%,(39/69),(19/36),(17/29),40%,(2/5),64%,(7/11),(15/26),(19/29),43%,(30/69),62%,(56/90),(64/159),(95/159),6,4,0,0,42%,(5/12),85%,(11/13),15%,(2/13),58%,(7/12),(7/25),(18/25)
French Open,Zverev A.,Griekspoor T.,1,0,02.06. 13:10,no,3,0,,,76%,79%,,,,,,,,,50%,20%,,,,,,,205 km/h,175 km/h,179 km/h,158 km/h,53%,27%,,,50%,38%,,,11,8,6,19,50%,57%,,,,,,,,,,,61%,39%,,,,,,,,,,,,,,,69%,31%,,,1.13,6.00,1.13,6.00,1,0,73%,(19/26),47%,(14/30),63%,(5/8),50%,(4/8),(1/2),(1/5),(16/30),(7/26),53%,(20/38),29%,(10/34),(4/8),(3/8),80%,(4/5),50%,(1/2),(3/6),(4/7),71%,(24/34),47%,(18/38),(44/72),(28/72),9,1,0,0,83%,(5/6),43%,(3/7),57%,(4/7),17%,(1/6),(9/13),(4/13)
French Open,Musetti L.,Rune H.,3,1,01.06. 20:55,no,4,1,,,64%,62%,,,,,,,,,40%,25%,,,,,,,187 km/h,183 km/h,152 km/h,146 km/h,43%,33%,,,41%,44%,,,39,50,34,55,58%,73%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,58%,42%,,,1.44,2.75,1.44,2.75,1,3,67%,(53/79),57%,(42/74),56%,(25/45),59%,(27/46),(2/5),(2/8),(32/74),(26/79),43%,(51/120),37%,(46/124),(19/46),(20/45),75%,(6/8),60%,(3/5),(15/26),(35/48),63%,(78/124),58%,(69/120),(129/244),(115/244),5,5,0,1,84%,(16/19),68%,(13/19),32%,(6/19),16%,(3/19),(22/38),(16/38)
French Open,Tiafoe F.,Altmaier D.,3,0,01.06. 18:40,no,6,8,,,68%,57%,,,,,,,,,0%,38%,,,,,,,196 km/h,183 km/h,141 km/h,156 km/h,29%,28%,,,65%,42%,,,40,28,36,33,81%,33%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,58%,42%,,,1.50,2.63,1.50,2.63,0,3,72%,(47/65),71%,(40/56),58%,(18/31),35%,(15/43),(0/3),(3/8),(16/56),(18/65),44%,(44/99),32%,(31/96),(28/43),(13/31),63%,(5/8),100%,(3/3),(30/37),(5/15),68%,(65/96),56%,(55/99),(109/195),(86/195),7,3,0,0,81%,(13/16),67%,(10/15),33%,(5/15),19%,(3/16),(18/31),(13/31)
French Open,Shelton B.,Alcaraz C.,1,3,01.06. 16:50,no,6,5,,,68%,70%,,,,,,,,,57%,78%,,,,,,,202 km/h,193 km/h,171 km/h,165 km/h,32%,31%,,,33%,41%,,,32,43,47,43,58%,69%,,,,,,,,,,,48%,52%,,,,,,,,,,,,,,,46%,54%,,,11.00,1.05,11.00,1.05,3,2,69%,(61/88),68%,(67/99),59%,(24/41),67%,(29/43),(4/7),(7/9),(32/99),(27/88),32%,(46/142),34%,(44/129),(14/43),(17/41),22%,(2/9),43%,(3/7),(25/43),(31/45),66%,(85/129),68%,(96/142),(131/271),(140/271),5,5,1,0,85%,(17/20),90%,(19/21),10%,(2/21),15%,(3/20),(19/41),(22/41)
French Open,Popyrin A.,Paul T.,0,3,01.06. 11:15,no,5,1,,,58%,61%,,,,,,,,,17%,90%,,,,,,,197 km/h,179 km/h,158 km/h,149 km/h,31%,29%,,,26%,63%,,,18,27,37,22,83%,80%,,,,,,,,,,,42%,58%,,,,,,,,,,,,,,,33%,67%,,,2.38,1.57,2.38,1.57,3,1,71%,(30/42),69%,(37/54),37%,(11/30),74%,(25/34),(1/6),(9/10),(17/54),(12/42),30%,(26/88),43%,(31/72),(9/34),(19/30),10%,(1/10),83%,(5/6),(10/12),(16/20),57%,(41/72),70%,(62/88),(67/160),(93/160),4,6,0,0,62%,(8/13),93%,(13/14),7%,(1/14),38%,(5/13),(9/27),(18/27)
French Open,Misolic F.,Djokovic N.,0,3,31.05. 20:30,no,6,6,,,60%,68%,,,,,,,,,75%,100%,,,,,,,184 km/h,184 km/h,145 km/h,149 km/h,20%,28%,,,33%,64%,,,33,33,22,14,36%,65%,,,,,,,,,,,42%,58%,,,,,,,,,,,,,,,33%,67%,,,11.00,1.05,11.00,1.05,2,0,72%,(39/54),80%,(41/51),36%,(13/36),67%,(16/24),(12/16),(1/1),(10/51),(15/54),24%,(18/75),42%,(38/90),(8/24),(23/36),0%,(0/1),25%,(4/16),(4/11),(17/26),58%,(52/90),76%,(57/75),(70/165),(95/165),2,8,0,0,69%,(9/13),100%,(14/14),0%,(0/14),31%,(4/13),(9/27),(18/27)
French Open,Norrie C.,Fearnley J.,3,0,31.05. 17:55,no,2,8,,,57%,58%,,,,,,,,,64%,42%,,,,,,,189 km/h,186 km/h,142 km/h,169 km/h,41%,32%,,,62%,43%,,,17,44,28,72,53%,60%,,,,,,,,,,,57%,43%,,,,,,,,,,,,,,,62%,38%,,,1.73,2.10,1.73,2.10,4,13,68%,(41/60),59%,(36/61),57%,(26/46),38%,(17/45),(7/11),(5/12),(25/61),(19/60),50%,(53/106),37%,(39/106),(28/45),(20/46),58%,(7/12),36%,(4/11),(8/15),(9/15),63%,(67/106),50%,(53/106),(120/212),(92/212),5,5,0,1,73%,(11/15),50%,(7/14),50%,(7/14),27%,(4/15),(18/29),(11/29)
French Open,Bublik A.,Rocha H.,3,0,31.05. 15:50,no,9,9,,,59%,55%,,,,,,,,,100%,55%,,,,,,,197 km/h,192 km/h,169 km/h,154 km/h,36%,13%,,,54%,47%,,,31,23,26,37,93%,37%,,,,,,,,,,,58%,42%,,,,,,,,,,,,,,,70%,30%,,,1.30,3.50,1.30,3.50,6,8,87%,(41/47),64%,(29/45),53%,(17/32),46%,(17/37),(2/2),(6/11),(16/45),(6/47),44%,(36/82),27%,(21/79),(20/37),(15/32),45%,(5/11),0%,(0/2),(13/14),(7/19),73%,(58/79),56%,(46/82),(94/161),(67/161),6,4,0,0,100%,(14/14),62%,(8/13),38%,(5/13),0%,(0/14),(19/27),(8/27)
French Open,Fonseca J.,Draper J.,0,3,31.05. 14:50,no,6,8,,,70%,59%,,,,,,,,,55%,100%,,,,,,,194 km/h,201 km/h,162 km/h,162 km/h,8%,37%,,,39%,64%,,,23,32,38,20,63%,89%,,,,,,,,,,,39%,61%,,,,,,,,,,,,,,,31%,69%,,,2.63,1.50,2.63,1.50,0,4,63%,(37/59),93%,(37/40),36%,(9/25),61%,(17/28),(6/11),(2/2),(3/40),(22/59),21%,(14/68),45%,(38/84),(11/28),(16/25),0%,(0/2),45%,(5/11),(10/16),(8/9),55%,(46/84),79%,(54/68),(60/152),(92/152),4,6,0,0,62%,(8/13),100%,(13/13),0%,(0/13),38%,(5/13),(8/26),(18/26)
French Open,Zverev A.,Cobolli F.,3,0,31.05. 14:35,no,8,0,,,78%,56%,,,,,,,,,60%,60%,,,,,,,202 km/h,168 km/h,177 km/h,147 km/h,47%,32%,,,50%,40%,,,32,22,30,47,68%,73%,,,,,,,,,,,57%,43%,,,,,,,,,,,,,,,67%,33%,,,1.17,5.00,1.17,5.00,1,3,68%,(49/72),53%,(30/57),60%,(12/20),50%,(22/44),(3/5),(9/15),(27/57),(23/72),49%,(49/101),34%,(31/92),(22/44),(8/20),40%,(6/15),40%,(2/5),(19/28),(11/15),66%,(61/92),51%,(52/101),(110/193),(83/193),6,4,0,3,86%,(12/14),54%,(7/13),46%,(6/13),14%,(2/14),(18/27),(9/27)
